"Name","Description","Latitude","Longitude"
CIERRE DE VIAS,OID_: 3<br>Dirección: Cierres peatonales en Centro Historico de Quito: Guayaquil y Espejo<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2211798618<br>longitud: -78.51134348,-0.2211798618,-78.51134348
CIERRE DE VIAS,OID_: 11<br>Dirección: CIERRE CENTRO HISTORICO: Mejia y Gracia Moreno<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2189042<br>longitud: -78.511685,-0.2189042,-78.511685
CIERRE DE VIAS,OID_: 12<br>Dirección: CIERRE CENTRO HISTORICO:<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2183611<br>longitud: -78.5123829,-0.2183611,-78.5123829
CIERRE DE VIAS,OID_: 13<br>Dirección: CIERRE CENTRO HISTORICO:<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2212782<br>longitud: -78.5149993,-0.2212782,-78.5149993
CIERRE DE VIAS,OID_: 14<br>Dirección: CIERRE CENTRO HISTORICO:<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2205809<br>longitud: -78.5143341,-0.2205809,-78.5143341
CIERRE DE VIAS,OID_: 15<br>Dirección: CIERRE CENTRO HISTORICO:<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2190628<br>longitud: -78.5129286,-0.2190628,-78.5129286
CIERRE DE VIAS,OID_: 19<br>Dirección: CIERRE CENTRO HISTORICO: GUAYAQUIL Y BOLIVAR<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2231016<br>longitud: -78.5128483,-0.2231016,-78.5128483
CIERRE DE VIAS,OID_: 20<br>Dirección: CIERRE CENTRO HISTORICO: GUAYAQUIL Y MEJIA<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.219847<br>longitud: -78.5102282,-0.219847,-78.5102282
CIERRE DE VIAS,OID_: 22<br>Dirección: CIERRE CENTRO HISTORICO: VENEZUELA MANABI <br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2180734<br>longitud: -78.5099466,-0.2180734,-78.5099466
CIERRE DE VIAS,OID_: 23<br>Dirección: CIERRE CENTRO HISTORICO:VENEZUELA Y MEJIA<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2193535<br>longitud: -78.5109457,-0.2193535,-78.5109457
CIERRE DE VIAS,OID_: 24<br>Dirección: CIERRE CENTRO HISTORICO:GARCIA MORENO Y OLMEDO<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2182281<br>longitud: -78.5111269,-0.2182281,-78.5111269
CIERRE DE VIAS,OID_: 25<br>Dirección: CIERRE CENTRO HISTORICO: CUENCA Y OLMEDO<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2171878<br>longitud: -78.5125149,-0.2171878,-78.5125149
CIERRE DE VIAS,OID_: 27<br>Dirección: CIERRE CENTRO HISTORICO: CUENCA Y CHILE<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2185361<br>longitud: -78.5136889,-0.2185361,-78.5136889
CIERRE DE VIAS,OID_: 28<br>Dirección: CIERRE CENTRO HISTORICO: <br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2195988<br>longitud: -78.5133925,-0.2195988,-78.5133925
CIERRE DE VIAS,OID_: 29<br>Dirección: CIERRE CENTRO HISTORICO: ESMERALDAS DESDE LA CUENCA HASTA LA GUAYAQUIL<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2183242<br>longitud: -78.5082691,-0.2183242,-78.5082691
CIERRE DE VIAS,OID_: 31<br>Dirección: CIERRE CENTRO HISTORICO: JUAN MONTALVO Y 6 DE DICIEMBRE<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2121079<br>longitud: -78.4991592,-0.2121079,-78.4991592
CIERRE DE VIAS,OID_: 32<br>Dirección: CIERRE CENTRO HISTORICO: 6 DE DICIEMBRE Y TARQUI<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2111787<br>longitud: -78.498253,-0.2111787,-78.498253
CIERRE DE VIAS,OID_: 40<br>Dirección: CIERRE CENTRO HISTORICO: 6 DE DIC Y PAZMINIO<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2133653<br>longitud: -78.500513,-0.2133653,-78.500513
CIERRE DE VIAS,OID_: 41<br>Dirección: CIERRE CENTRO HISTORICO: GUAYAQUIL Y ORIENTE<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2179737<br>longitud: -78.5073272,-0.2179737,-78.5073272
CIERRE DE VIAS,OID_: 42<br>Dirección: CIERRE CENTRO HISTORICO: VARGAS Y MANABI<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2185814<br>longitud: -78.5092505,-0.2185814,-78.5092505
CIERRE DE VIAS,OID_: 43<br>Dirección: CIERRE CENTRO HISTORICO: VARGAS Y ORIENTE<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2172725<br>longitud: -78.5081406,-0.2172725,-78.5081406
CIERRE DE VIAS,OID_: 48<br>Dirección: Guayaquil y Sucre<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.222475<br>longitud: -78.5123635,-0.222475,-78.5123635
CIERRE DE VIAS,OID_: 49<br>Dirección: Oriente y Benalcazar<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2156979<br>longitud: -78.5100249,-0.2156979,-78.5100249
CIERRE DE VIAS,OID_: 50<br>Dirección: Oriente y Garcia Moreno<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2162187<br>longitud: -78.5093772,-0.2162187,-78.5093772
CIERRE DE VIAS,OID_: 51<br>Dirección: Oriente y venezuela<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2167726<br>longitud: -78.5087628,-0.2167726,-78.5087628
CIERRE DE VIAS,OID_: 53<br>Dirección: Cuenca y Esmeraldas<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.215791<br>longitud: -78.5112886,-0.215791,-78.5112886
CIERRE DE VIAS,OID_: 57<br>Dirección: Cuenca y Mideros<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2194073<br>longitud: -78.5144963,-0.2194073,-78.5144963
CIERRE DE VIAS,OID_: 58<br>Dirección: Sucre y Cuenca<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2200459<br>longitud: -78.5148785,-0.2200459,-78.5148785
CIERRE DE VIAS,OID_: 60<br>Dirección: Av. 10 de Agosto y Sta. Prisca<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2146709<br>longitud: -78.5033508,-0.2146709,-78.5033508
CIERRE DE VIAS,OID_: <br>Dirección: 10 de Agosto y Briceño<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2165498<br>longitud: -78.5049021,-0.2165498,-78.5049021
CIERRE DE VIAS,OID_: <br>Dirección: La y de la Armenia Nanegalito vía a Pacto<br>Estado movilizacion: CIERRE TOTAL<br>latitud: 0.0663351<br>longitud: -78.6925578,0.0663351,-78.6925578
CIERRE DE VIAS,OID_: <br>Dirección: Av. Intervalles sector Toglla<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2503307<br>longitud: -78.4423119,-0.2503307,-78.4423119
CIERRE DE VIAS,OID_: <br>Dirección: 12 de Octubre y Tarqui<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2123716<br>longitud: -78.4970393,-0.2123716,-78.4970393
CIERRE DE VIAS,OID_: <br>Dirección: GRAN COLOMBIA Y 12 DE OCTUBRE<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2138185<br>longitud: -78.4981229,-0.2138185,-78.4981229
CIERRE DE VIAS,OID_: <br>Dirección: GRAN COLOMBIA Y YAGUACHI<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2135948<br>longitud: -78.4975126,-0.2135948,-78.4975126
CIERRE DE VIAS,OID_: <br>Dirección: PIEDRAHITA Y GRAN COLOMBIA<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2140928<br>longitud: -78.498961,-0.2140928,-78.498961
CIERRE DE VIAS,OID_: <br>Dirección: GRAN COLOMBIA Y JUAN MONTALVO<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2133948<br>longitud: -78.4979825,-0.2133948,-78.4979825
CIERRE DE VIAS,OID_: <br>Dirección: LUIS SAÁ Y HERAMNO PAZMIÑO<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2139213<br>longitud: -78.5000905,-0.2139213,-78.5000905
CIERRE DE VIAS,OID_: <br>Dirección: 12 DE OCTUBRE Y TARQUI. SENTIDO N-S<br>Estado movilizacion: PARCIALMENTE HABILITADA<br>latitud: -0.2122492<br>longitud: -78.4969738,-0.2122492,-78.4969738
CIERRE DE VIAS,OID_: <br>Dirección: BOLIVAR Y GARCIA MORENO (ACCESO PEATONAL)<br>Estado movilizacion: PARCIALMENTE HABILITADA<br>latitud: -0.2219372<br>longitud: -78.5143439,-0.2219372,-78.5143439
CIERRE DE VIAS,OID_: <br>Dirección: CENTRO HISTORICO: MEJIA E IMBABURA ( ACCESO VEHICULAR)<br>Estado movilizacion: PARCIALMENTE HABILITADA<br>latitud: -0.2168317<br>longitud: -78.5145782,-0.2168317,-78.5145782
CIERRE DE VIAS,OID_: <br>Dirección: CENTRO HISTORICO: CHILE Y GUAYAQUIL<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.220502<br>longitud: -78.5107903,-0.220502,-78.5107903
CIERRE DE VIAS,OID_: <br>Dirección: CENTRO HISTORICO: GUAYAQUIL Y OLMEDO<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2192377<br>longitud: -78.5097503,-0.2192377,-78.5097503
CIERRE DE VIAS,OID_: <br>Dirección: CENTRO HISTORICO: GUAYAQUIL Y MANABI<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2187734<br>longitud: -78.5090299,-0.2187734,-78.5090299
CIERRE DE VIAS,OID_: <br>Dirección: BOLIVAR Y VENEZUELA<br>Estado movilizacion: PARCIALMENTE HABILITADA<br>latitud: -0.2225611<br>longitud: -78.5135625,-0.2225611,-78.5135625
CIERRE DE VIAS,OID_: <br>Dirección: CHILE E IMBABURA<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2175488<br>longitud: -78.5148982,-0.2175488,-78.5148982
CIERRE DE VIAS,OID_: <br>Dirección: CUENCA Y MEJIA<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2178605<br>longitud: -78.5131113,-0.2178605,-78.5131113
Punto 66,OID_: <br>Dirección: E35 (ingreso Estadio Parroquia el Quinche)<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.1151768<br>longitud: -78.2950428,-0.1151768,-78.2950428
Punto 83,OID_: <br>Dirección: E35 sector Pifo<br>Estado movilizacion: PARCIALMENTE HABILITADA<br>latitud: -0.2259151<br>longitud: -78.3467546,-0.2259151,-78.3467546
CIERRE DE VIAS,OID_: <br>Dirección: E35 y Quito<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.1651801<br>longitud: -78.3233498,-0.1651801,-78.3233498
CIERRE DE VIAS,OID_: <br>Dirección: Redondel de Guayllabamba<br>Estado movilizacion: PARCIALMENTE HABILITADA<br>latitud: -0.0487561<br>longitud: -78.3421835,-0.0487561,-78.3421835
MANIFESTACIONES,OID_: <br>Dirección: Veintimilla y 6 de diciembre<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.205586<br>longitud: -78.4919318,-0.205586,-78.4919318
CIERRE DE VIAS,OID_: <br>Dirección: Redondel de la Moneda<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.0895588<br>longitud: -78.3927491,-0.0895588,-78.3927491
CIERRE DE VIAS,OID_: <br>Dirección: 12 de octubre y Madrid<br>Estado movilizacion: PARCIALMENTE HABILITADA<br>latitud: -0.2066204<br>longitud: -78.4879596,-0.2066204,-78.4879596
MANIFESTACIONES,OID_: <br>Dirección: Patria y Amazonas<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2077263<br>longitud: -78.4971074,-0.2077263,-78.4971074
MANIFESTACIONES,OID_: <br>Dirección: Wilson y 6 de diciembre<br>Estado movilizacion: PARCIALMENTE HABILITADA<br>latitud: -0.2048022<br>longitud: -78.4908989,-0.2048022,-78.4908989
CIERRE DE VIAS,OID_: <br>Dirección: Queseras del Medio y Andalucia<br>Estado movilizacion: PARCIALMENTE HABILITADA<br>latitud: -0.2127671<br>longitud: -78.4919794,-0.2127671,-78.4919794
VIAS CON ESCOMBROS,ID: 8<br>DIRECCIÓN: Nanegalito_La Armenia<br>LATITUD: 0.0663351<br>LONGITUD: -78.6925578,0.0663351,-78.6925578
VIAS CON ESCOMBROS,ID: <br>DIRECCIÓN: San Miguel de Común<br>LATITUD: -0.0914947<br>LONGITUD: -78.4116718,-0.0914947,-78.4116718
VIAS CON ESCOMBROS,ID: <br>DIRECCIÓN: INTERVALLES-COMUNA LA TOGLLA<br>LATITUD: -0.2502769<br>LONGITUD: -78.4423093,-0.2502769,-78.4423093
VIAS CON ESCOMBROS,ID: <br>DIRECCIÓN: EL QUINCHE-SECTOR ESTADIO<br>LATITUD: -0.1155854<br>LONGITUD: -78.2950381,-0.1155854,-78.2950381
VIAS CON ESCOMBROS,ID: <br>DIRECCIÓN: HUANCAVILCA Y ANTONIO IGLESIAS<br>LATITUD: -0.3727114<br>LONGITUD: -78.5029605,-0.3727114,-78.5029605
VIAS CON ESCOMBROS,ID: <br>DIRECCIÓN: SECTOR CUNUNYACU<br>LATITUD: -0.2258703<br>LONGITUD: -78.4293811,-0.2258703,-78.4293811
VIAS CON ESCOMBROS,ID: <br>DIRECCIÓN: REDONDEL GUAYLLABAMBA<br>LATITUD: -0.0485581<br>LONGITUD: -78.3422046,-0.0485581,-78.3422046
VIAS CON ESCOMBROS,ID: <br>DIRECCIÓN: INGRESO A PINTAG<br>LATITUD: -0.3310341<br>LONGITUD: -78.3838197,-0.3310341,-78.3838197
VIAS CON ESCOMBROS,ID: <br>DIRECCIÓN: CAMILO PONCE ENNRIQUEZ Y JORGE MOSQUERA<br>LATITUD: -0.273253<br>LONGITUD: -78.4954054,-0.273253,-78.4954054
